"company","hour","max_high"
"BYND","9","140.1999969482422"
"BYND","10","139.0"
"BYND","11","137.60000610351562"
"BYND","12","137.16000366210938"
"BYND","13","135.89999389648438"
"BYND","14","136.0800018310547"
"BYND","15","134.37249755859375"
"DDOG","9","68.5"
"DDOG","10","68.61150360107422"
"DDOG","11","68.3488998413086"
"DDOG","12","69.04000091552734"
"DDOG","13","69.22000122070312"
"DDOG","14","69.19999694824219"
"DDOG","15","68.38999938964844"
"FB","9","206.0"
"FB","10","206.77999877929688"
"FB","11","206.10000610351562"
"FB","12","208.6300048828125"
"FB","13","209.72000122070312"
"FB","14","210.05999755859375"
"FB","15","211.33999633789062"
"NFLX","9","444.05999755859375"
"NFLX","10","441.8699951171875"
"NFLX","11","440.0199890136719"
"NFLX","12","446.3699951171875"
"NFLX","13","448.0"
"NFLX","14","447.6400146484375"
"NFLX","15","455.0"
"OKTA","9","181.69000244140625"
"OKTA","10","182.61000061035156"
"OKTA","11","181.7899932861328"
"OKTA","12","182.11000061035156"
"OKTA","13","183.19000244140625"
"OKTA","14","182.6649932861328"
"OKTA","15","182.2100067138672"
"PINS","9","17.479999542236328"
"PINS","10","17.65999984741211"
"PINS","11","17.799999237060547"
"PINS","12","17.950000762939453"
"PINS","13","18.049999237060547"
"PINS","14","18.110000610351562"
"PINS","15","18.280000686645508"
"SHOP","9","766.1199951171875"
"SHOP","10","774.6824951171875"
"SHOP","11","768.619873046875"
"SHOP","12","770.659912109375"
"SHOP","13","774.1356201171875"
"SHOP","14","774.7899780273438"
"SHOP","15","770.489990234375"
"SNAP","9","17.200000762939453"
"SNAP","10","17.21500015258789"
"SNAP","11","17.100000381469727"
"SNAP","12","17.200000762939453"
"SNAP","13","17.235000610351562"
"SNAP","14","17.200000762939453"
"SNAP","15","17.21500015258789"
"SQ","9","79.63999938964844"
"SQ","10","79.36000061035156"
"SQ","11","79.33999633789062"
"SQ","12","80.3499984741211"
"SQ","13","81.0199966430664"
"SQ","14","81.12999725341797"
"SQ","15","80.94000244140625"
"TTD","9","298.5400085449219"
"TTD","10","302.989990234375"
"TTD","11","301.5299987792969"
"TTD","12","302.0"
"TTD","13","304.42999267578125"
"TTD","14","303.3999938964844"
"TTD","15","302.8900146484375"
